ID,NUM_ROUTE,X,Y
1,A50,894302.021,6245561.922
2,A50,894914.801,6245670.492
3,A50,895229.471,6245744.099
4,A50,896307.816,6245858.190
5,A50,897191.101,6245983.323
6,A50,897568.338,6246090.053
7,A50,898258.405,6246275.911
8,A50,899149.051,6246752.517
9,A50,900061.780,6247080.069
10,A50,901049.956,6246910.772
11,A50,901467.676,6246805.882
12,A50,902032.611,6246675.230
13,A50,903007.905,6246432.326
14,A50,903983.200,6246204.144
15,A50,904964.015,6246143.418
16,A50,905948.511,6246355.039
17,A50,907164.868,6246708.353
18,A501,907567.868,6247138.955
19,A501,908620.450,6248324.030
20,A50,909047.371,6246121.336
21,A502,909547.900,6246077.172
22,A502,910122.035,6246172.861
23,A502,910593.121,6246209.665
27,D559,894835.586,6245591.490
24,D559,894854.769,6245574.810
25,D8N,895018.238,6245629.021
26,A50_sortie,894799.723,6245684.901
28,D8N,895077.454,6245722.432
29,A50_entree,897007.394,6245909.255
30,D2,897488.627,6246142.782
31,A50_sortie,901258.432,6246777.477
32,A50_sortie,901386.872,6246764.133
33,A50_entree,901740.500,6246772.473
34,A50_entree,901286.789,6246902.581
35,A50_sortie,904112.474,6246141.948
36,A50_sortie,903735.493,6246352.123
37,D2,907708.27,6247270.129
38,D2,906855.838,6246604.514
39,A501_entre,908677.940,6248420.094
40,A501_sorti,908737.156,6248334.189
41,A502_sorti,909795.537,6246069.805
42,A502_entre,910576.187,6246246.619
43,A502_entre,909731.317,6246169.888
44,A50_entree,896904.808,6245960.756
45,D2,897379.370,6246075.435
175,A501,907472.958,6246952.585
